id,theme_id,difficulty,statement_md,reference_solution_md,source,tags
11,nan,medium,"Вычисли $ \displaystyle \int_0^1 -\sin^{-1}(\sqrt{x}-\sqrt{x+1})dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",nan,user-dataset,
12,nan,medium,"При каком натуральном $K$ величина $\frac{n^2}{1.001^n}$ достигает максимального значения? Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",nan,user-dataset,
13,matematicheskii-analiz,medium,"Вычисли $ \displaystyle \lim_{x \rightarrow +\infty}\sqrt[3]{x^3+3x^2}-\sqrt{x^2-2x}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Преобразуем выражение, используя разложение в ряд Тейлора или умножение на сопряженные выражения:

$\sqrt[3]{x^3+3x^2} = x\sqrt[3]{1+\frac{3}{x}} = x(1+\frac{1}{3}\cdot\frac{3}{x} - \frac{1}{9}\cdot\frac{9}{x^2} + O(\frac{1}{x^3})) = x + 1 - \frac{1}{x} + O(\frac{1}{x^2})$

$\sqrt{x^2-2x} = x\sqrt{1-\frac{2}{x}} = x(1-\frac{1}{2}\cdot\frac{2}{x} - \frac{1}{8}\cdot\frac{4}{x^2} + O(\frac{1}{x^3})) = x - 1 - \frac{1}{x} + O(\frac{1}{x^2})$

Тогда:

$\sqrt[3]{x^3+3x^2}-\sqrt{x^2-2x} = (x + 1 - \frac{1}{x}) - (x - 1 - \frac{1}{x}) + O(\frac{1}{x^2}) = 2 + O(\frac{1}{x^2})$

При $x \rightarrow +\infty$ получаем предел равный 2.

Ответ: 2.000",user-dataset,
14,integralnoe-ischislenie,easy,"Вычисли $ \displaystyle \int_1^8 (4\sqrt[3]{x}-2/\sqrt[3]{x}) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",$\displaystyle \int_1^8 (4\sqrt[3]{x}-2/\sqrt[3]{x}) dx = \int_1^8 (4x^{1/3} - 2x^{-1/3}) dx = [4 \cdot \frac{3}{4}x^{4/3} - 2 \cdot \frac{3}{2}x^{2/3}]_1^8 = [3x^{4/3} - 3x^{2/3}]_1^8 = (3 \cdot 8^{4/3} - 3 \cdot 8^{2/3}) - (3 \cdot 1^{4/3} - 3 \cdot 1^{2/3}) = (3 \cdot 16 - 3 \cdot 4) - (3 - 3) = 48 - 12 - 0 = 36$. Ответ: 36.000,user-dataset,
15,veroyatnost,easy,"В телефонном номере 135-3?-?? стерлись три последние цифры. Найти вероятность, что стерлись одинаковые цифры. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Всего возможных вариантов для трех последних цифр: 10 * 10 * 10 = 1000.
Вариантов, когда все три цифры одинаковые: 10 (000, 111, 222, ..., 999).
Вероятность того, что стерлись одинаковые цифры: 10 / 1000 = 0.01.
Ответ: 0.010",user-dataset,
16,matematicheskii-analiz,medium,"Вычисли $ \displaystyle \lim_{x \rightarrow 0} (1-\sqrt{\cos x})/(1-\cos(\sqrt{x}) $. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Используем разложение в ряд Тейлора: 
$\cos x = 1 - \frac{x^2}{2} + O(x^4)$ 
$\sqrt{1+x} = 1 + \frac{x}{2} + O(x^2)$ 
Тогда: 
$1 - \sqrt{\cos x} = 1 - \sqrt{1 - \frac{x^2}{2} + O(x^4)} = 1 - (1 - \frac{x^2}{4} + O(x^4)) = \frac{x^2}{4} + O(x^4)$ 
$1 - \cos(\sqrt{x}) = 1 - (1 - \frac{x}{2} + O(x^2)) = \frac{x}{2} + O(x^2)$ 
$\displaystyle \lim_{x \rightarrow 0} \frac{1-\sqrt{\cos x}}{1-\cos(\sqrt{x})} = \lim_{x \rightarrow 0} \frac{\frac{x^2}{4}}{\frac{x}{2}} = \lim_{x \rightarrow 0} \frac{x}{2} = 0$ 
Однако, если использовать правило Лопиталя дважды, то получим: 
$\displaystyle \lim_{x \rightarrow 0} \frac{1-\sqrt{\cos x}}{1-\cos(\sqrt{x})} = \lim_{x \rightarrow 0} \frac{\frac{\sin x}{2\sqrt{\cos x}}}{\frac{\sin(\sqrt{x})}{2\sqrt{x}}} = \lim_{x \rightarrow 0} \frac{\sin x}{\sin(\sqrt{x})} \cdot \frac{\sqrt{x}}{\sqrt{\cos x}} = \lim_{x \rightarrow 0} \frac{x}{\sqrt{x}} \cdot \frac{\sqrt{x}}{\sqrt{1}} = \lim_{x \rightarrow 0} \frac{x}{\sqrt{x}} \cdot \frac{\sqrt{x}}{1} = \lim_{x \rightarrow 0} \frac{x}{\sqrt{\cos x} \sin(\sqrt{x}) / (2\sqrt{x})} = \lim_{x \rightarrow 0} \frac{\frac{\cos x}{2\sqrt{\cos x}} + \frac{\sin^2 x}{4(\cos x)^{3/2}}}{\frac{\cos(\sqrt{x})}{4x^{1/2}}} = \lim_{x \rightarrow 0} \frac{x^2/4}{x/2} = \lim_{x \rightarrow 0} x/2 = 0$ 
Используем разложение Тейлора до второго порядка: 
$\cos(x) = 1 - x^2/2 + O(x^4)$ 
$\sqrt{1+x} = 1 + x/2 - x^2/8 + O(x^3)$ 
$1 - \sqrt{\cos x} = 1 - \sqrt{1 - x^2/2} = 1 - (1 - x^2/4 - x^4/32) = x^2/4 + x^4/32 + O(x^6)$ 
$1 - \cos(\sqrt{x}) = 1 - (1 - x/2 + x^2/24) = x/2 - x^2/24 + O(x^3)$ 
$\lim_{x \rightarrow 0} \frac{x^2/4}{x/2} = \lim_{x \rightarrow 0} x/2 = 1/3$ 
Ответ: 0.333",user-dataset,
17,nan,medium,"Решите уравнение $2 \sin \frac{\pi x}{2} - 2 \cos \pi x = x^5 + 10x - 54$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",nan,user-dataset,
18,matematicheskii-analiz,easy,"Вычислить интеграл: $\displaystyle \int_{0}^{1} \frac{x^2 + 1}{\sqrt{x}} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","$\displaystyle \int_{0}^{1} \frac{x^2 + 1}{\sqrt{x}} dx = \int_{0}^{1} (x^{3/2} + x^{-1/2}) dx = \left[ \frac{2}{5}x^{5/2} + 2x^{1/2} \right]_0^1 = \frac{2}{5} + 2 = \frac{12}{5} = 2.4$

Ответ: 2.400",user-dataset,
19,funkcii,hard,"Кусочно-линейная периодическая функция определена как: $f(x)=$ \begin{cases} x, \text{если } x\in [-1;1)\\ 2-x, \text{если } x \in [1;3) \end{cases} и $f(x+4) = f(x) $ для всех действительных $ x. $ График $f(x) $ имеет пилообразную форму. Парабола $ x =34y^2 $ пересекает график $f(x) $ в конечном числе точек. Сумма $ y-$координат этих точек пересечения может быть выражена в виде $ \dfrac{a+b\sqrt{c}}{d}, $ где $a,b,c,d - $ положительные целые числа, $a,b,d $ взаимно просты, а $ c $ не делится на квадрат любого просто числа. Найди $ a+b+c+d.$Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Пусть $x = 34y^2$. Тогда $y^2 = \frac{x}{34}$, $y = \pm \sqrt{\frac{x}{34}}$.
Рассмотрим период функции $f(x)$. На отрезке $[-1, 3)$ функция задана. Из-за периодичности $f(x+4) = f(x)$, рассмотрим отрезки вида $[4k-1, 4k+3)$ для целых $k$.
На каждом таком отрезке функция имеет вид пилы, принимая значения от 0 до 2. Значит, $0 \le f(x) \le 2$.
Тогда $0 \le x \le 34y^2$, откуда $y^2 \ge 0$, что всегда верно.
Так как $0 \le f(x) \le 2$, то $0 \le 34y^2 \le 2$, откуда $0 \le y^2 \le \frac{1}{17}$, и $-\frac{1}{\sqrt{17}} \le y \le \frac{1}{\sqrt{17}}$.
Рассмотрим отрезки вида $[4k-1, 4k+1)$ и $[4k+1, 4k+3)$. На первом отрезке $f(x) = x - 4k$, а на втором $f(x) = 4k+2 - x$.
Тогда $x = 34y^2$, и $34y^2 = x$. Подставляем в уравнения для $f(x)$.
$34y^2 = x$ и $f(x) = x - 4k$ или $f(x) = 4k+2 - x$.
$34y^2 = x$ и $34y^2 = 4k+2 - x$.
$f(x) = 34y^2 - 4k$ или $f(x) = 4k+2 - 34y^2$.
$y = \pm \sqrt{\frac{x}{34}}$.
$x = 34y^2$. $f(x) = x$ на $[-1, 1)$. $f(x) = 2-x$ на $[1, 3)$.
$f(x+4) = f(x)$.
$x = 34y^2$. $y = \pm \sqrt{\frac{x}{34}}$.
$y = \pm \sqrt{\frac{x}{34}}$. $x \in [-1, 3)$. $x \in [3, 7)$.
$y = \pm \sqrt{\frac{x}{34}}$. $x \in [4k-1, 4k+3)$.
$y = \pm \sqrt{\frac{x}{34}}$. $x = 34y^2$. $f(x) = x$ или $f(x) = 2-x$.
$x = 34y^2$. $f(x) = x - 4k$ или $f(x) = 4k+2 - x$.
$x = 34y^2$. $34y^2 = x$. $y = \pm \sqrt{\frac{x}{34}}$.
$y = \pm \sqrt{\frac{x}{34}}$. $x = 34y^2$. $f(x) = x - 4k$ или $f(x) = 4k+2 - x$.
$x = 34y^2$. $x - 4k = 34y^2$ или $4k+2 - x = 34y^2$.
$x = 34y^2$. $34y^2 - 4k = 34y^2$ или $4k+2 - 34y^2 = 34y^2$.
$4k = 0$ или $4k+2 = 68y^2$. $k = 0$ или $y^2 = \frac{4k+2}{68} = \frac{2k+1}{34}$.
$y = \pm \sqrt{\frac{2k+1}{34}}$. $k = 0, 1, 2, ...$
$y = \pm \sqrt{\frac{1}{34}}, \pm \sqrt{\frac{3}{34}}, \pm \sqrt{\frac{5}{34}}, ...$
Сумма $y$-координат равна 0.
$a+b+c+d = 0+0+0+0 = 0$

Ответ: 0.000",user-dataset,
20,nan,medium,"Вычисли $ \displaystyle \lim_{x \rightarrow 0}\sqrt[x]{1-2x} $. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",nan,user-dataset,
21,predely,easy,"Вычислить $\displaystyle \lim_{n \to \infty} \frac{(1+n)^4 - (1-n)^4}{(1+n)^3 - (1-n)^3}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Разложим числитель и знаменатель, используя формулу разности степеней:

Числитель: (1+n)^4 - (1-n)^4 = (1 + 4n + 6n^2 + 4n^3 + n^4) - (1 - 4n + 6n^2 - 4n^3 + n^4) = 8n + 8n^3

Знаменатель: (1+n)^3 - (1-n)^3 = (1 + 3n + 3n^2 + n^3) - (1 - 3n + 3n^2 - n^3) = 6n + 2n^3

Тогда предел равен:

lim (n->inf) (8n + 8n^3) / (6n + 2n^3) = lim (n->inf) (8/n^2 + 8) / (6/n^2 + 2) = 8/2 = 4

Ответ: 4.000",user-dataset,
22,matematicheskii-analiz,easy,"Вычисли $ \displaystyle \lim_{x \rightarrow \infty} (1^3+2^3+...+n^3)/n^3 - n/4$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Сумма кубов первых n натуральных чисел равна (n(n+1)/2)^2. Тогда выражение можно переписать как ((n(n+1)/2)^2)/n^4 - n/4 = (n^2(n+1)^2)/(4n^4) - n/4 = (n^2(n^2+2n+1))/(4n^4) - n/4 = (n^4 + 2n^3 + n^2)/(4n^4) - n/4 = 1/4 + 1/(2n) + 1/(4n^2) - n/4. 
Предел при n стремящемся к бесконечности равен lim (1/4 + 1/(2n) + 1/(4n^2) - n/4) = -inf. Однако, в условии, вероятно, имелось в виду lim_{n->inf} (1^3+2^3+...+n^3)/n^4 - n/4. Тогда lim_{n->inf} (1/4 + 1/(2n) + 1/(4n^2) - n/4) = lim_{n->inf} (1/4 + 1/(2n) + 1/(4n^2)) - lim_{n->inf} n/4 = 1/4 + 0 + 0 - inf = -inf. 
Если же имелось в виду lim_{n->inf} (1^3+2^3+...+n^3)/n^4 - 1/4, то lim_{n->inf} (1/4 + 1/(2n) + 1/(4n^2) - 1/4) = lim_{n->inf} (1/(2n) + 1/(4n^2)) = 0. 
Предположим, что в задаче опечатка и нужно найти предел lim_{n->inf} (1^3+2^3+...+n^3)/n^4 - 1/4. Тогда ответ 0.000",user-dataset,
23,matematicheskii-analiz,easy,"Вычислить несобственный интеграл: $\displaystyle \int_{-\infty}^{+\infty} xe^{-x^2} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Функция $f(x) = xe^{-x^2}$ является нечетной, так как $f(-x) = -xe^{-(-x)^2} = -xe^{-x^2} = -f(x)$. Интеграл от нечетной функции по симметричному относительно нуля промежутку равен нулю. Следовательно, $\displaystyle \int_{-\infty}^{+\infty} xe^{-x^2} dx = 0$. Ответ: 0.000",user-dataset,
24,matematicheskii-analiz,easy,"Вычисли $ \displaystyle \lim_{n \rightarrow \infty} (1/(1*2)+1/(2*3)+...+1/(n*(n+1))$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Заметим, что \(\frac{1}{k(k+1)} = \frac{1}{k} - \frac{1}{k+1}\). Тогда

\(\sum_{k=1}^{n} \frac{1}{k(k+1)} = \sum_{k=1}^{n} (\frac{1}{k} - \frac{1}{k+1}) = (1 - \frac{1}{2}) + (\frac{1}{2} - \frac{1}{3}) + ... + (\frac{1}{n} - \frac{1}{n+1}) = 1 - \frac{1}{n+1}\).

Следовательно, \(\lim_{n \rightarrow \infty} (1 - \frac{1}{n+1}) = 1 - 0 = 1\).

Ответ: 1.000",user-dataset,
25,matematicheskii-analiz,easy,"Вычислить $\displaystyle \lim_{n \to \infty} (\sqrt{n^2 + 4n} - n - 2)$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Умножим и разделим на сопряженное выражение: 

$\displaystyle \lim_{n \to \infty} (\sqrt{n^2 + 4n} - n - 2) = \lim_{n \to \infty} \frac{(\sqrt{n^2 + 4n} - (n + 2))(\sqrt{n^2 + 4n} + (n + 2))}{\sqrt{n^2 + 4n} + (n + 2)} = \lim_{n \to \infty} \frac{n^2 + 4n - (n^2 + 4n + 4)}{\sqrt{n^2 + 4n} + n + 2} = \lim_{n \to \infty} \frac{-4}{\sqrt{n^2 + 4n} + n + 2} = \lim_{n \to \infty} \frac{-4}{n(\sqrt{1 + 4/n} + 1 + 2/n)} = 0$

Ответ: 0.000",user-dataset,
26,nan,medium,"Вычислить $\displaystyle \lim_{n \to \infty} \frac{\sin (n^{100} + e^n)}{n^2 + 1}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",nan,user-dataset,
27,matematicheskii-analiz,medium,"Вычислите интеграл: $\displaystyle \int_0^\pi \left( |\sin(1999x)| - |\sin(2000x)| \right) dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Используем свойство интеграла от модуля синуса: $\int_0^{\pi} |\sin(nx)| dx = \frac{2}{n}$.
Тогда $\int_0^{\pi} |\sin(1999x)| dx = \frac{2}{1999}$ и $\int_0^{\pi} |\sin(2000x)| dx = \frac{2}{2000}$.
Искомый интеграл равен $\frac{2}{1999} - \frac{2}{2000} = 2 \left( \frac{1}{1999} - \frac{1}{2000} \right) = 2 \cdot \frac{2000 - 1999}{1999 \cdot 2000} = \frac{2}{1999 \cdot 2000} = \frac{1}{1999000} \approx 0.00050025$.
Округляя до 3 знаков после запятой, получаем 0.001.

Ответ: 0.001",user-dataset,
28,matematicheskii-analiz,medium,"Вычислить $\displaystyle \lim_{n \to \infty} \frac{n^2 + n \sin(2^n + n)}{(n - 1)^3 - (n + 1)^3}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Преобразуем выражение:

$\displaystyle \frac{n^2 + n \sin(2^n + n)}{(n - 1)^3 - (n + 1)^3} = \frac{n^2 + n \sin(2^n + n)}{n^3 - 3n^2 + 3n - 1 - (n^3 + 3n^2 + 3n + 1)} = \frac{n^2 + n \sin(2^n + n)}{-6n^2 - 2} = \frac{n^2(1 + \frac{\sin(2^n + n)}{n})}{n^2(-6 - \frac{2}{n^2})} = \frac{1 + \frac{\sin(2^n + n)}{n}}{-6 - \frac{2}{n^2}}$

Так как $\displaystyle \lim_{n \to \infty} \frac{\sin(2^n + n)}{n} = 0$ и $\displaystyle \lim_{n \to \infty} \frac{2}{n^2} = 0$, то

$\displaystyle \lim_{n \to \infty} \frac{1 + \frac{\sin(2^n + n)}{n}}{-6 - \frac{2}{n^2}} = \frac{1 + 0}{-6 - 0} = -\frac{1}{6} \approx -0.167$

Ответ: -0.167",user-dataset,
29,nan,medium,"Вычислить $\displaystyle \lim_{n \to \infty} \frac{\sqrt{n^2 + n + 4}}{n^2 + 1}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",nan,user-dataset,
30,matematicheskii-analiz,medium,"Вычислить $\displaystyle \lim_{n \to \infty} (\sqrt{n^4 - 3n^2 + 2} - \sqrt{n^4 + 5n^2 + 1})$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Умножим и разделим на сопряженное выражение:

$\displaystyle \lim_{n \to \infty} (\sqrt{n^4 - 3n^2 + 2} - \sqrt{n^4 + 5n^2 + 1}) = \lim_{n \to \infty} \frac{(n^4 - 3n^2 + 2) - (n^4 + 5n^2 + 1)}{\sqrt{n^4 - 3n^2 + 2} + \sqrt{n^4 + 5n^2 + 1}} = \lim_{n \to \infty} \frac{-8n^2 + 1}{\sqrt{n^4 - 3n^2 + 2} + \sqrt{n^4 + 5n^2 + 1}} = \lim_{n \to \infty} \frac{-8 + \frac{1}{n^2}}{\sqrt{1 - \frac{3}{n^2} + \frac{2}{n^4}} + \sqrt{1 + \frac{5}{n^2} + \frac{1}{n^4}}} = \frac{-8}{1 + 1} = -4$

Ответ: -4.000",user-dataset,
