task,Название,Краткая формулировка,Тема,Уровень сложности
"Вычисли $ \displaystyle \int_0^1 -\sin^{-1}(\sqrt{x}-\sqrt{x+1})dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла с арксинусом,"Вычислить определенный интеграл от функции, содержащей арксинус и корни.",Мат. анализ,средний
"При каком натуральном $K$ величина $\frac{n^2}{1.001^n}$ достигает максимального значения? Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Максимум функции,"Найти натуральное K, при котором функция n^2 / 1.001^n достигает максимума.",Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow +\infty}\sqrt[3]{x^3+3x^2}-\sqrt{x^2-2x}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела с корнями,Вычислить предел разности кубического и квадратного корней при x стремящемся к бесконечности.,Мат. анализ,средний
"Вычисли $ \displaystyle \int_1^8 (4\sqrt[3]{x}-2/\sqrt[3]{x}) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,"Вычислить определённый интеграл от функции, содержащей корни.",Мат. анализ,легкий
"В телефонном номере 135-3?-?? стерлись три последние цифры. Найти вероятность, что стерлись одинаковые цифры. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность одинаковых цифр в телефонном номере,"Найти вероятность, что стерлись три одинаковые цифры в телефонном номере.",Теор. вер. и статистика,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow 0} (1-\sqrt{\cos x})/(1-\cos(\sqrt{x}) $. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела с неопределенностью,"Вычислить предел отношения функций при x, стремящемся к 0.",Мат. анализ,средний
"Решите уравнение $2 \sin \frac{\pi x}{2} - 2 \cos \pi x = x^5 + 10x - 54$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Решение тригонометрического уравнения с многочленом,Решить уравнение $2 \sin \frac{\pi x}{2} - 2 \cos \pi x = x^5 + 10x - 54$.,Мат. анализ,средний
"Вычислить интеграл: $\displaystyle \int_{0}^{1} \frac{x^2 + 1}{\sqrt{x}} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,"Вычислить определенный интеграл от функции, содержащей степень и корень.",Мат. анализ,легкий
"Кусочно-линейная периодическая функция определена как: $f(x)=$ \begin{cases} x, \text{если } x\in [-1;1)\\ 2-x, \text{если } x \in [1;3) \end{cases} и $f(x+4) = f(x) $ для всех действительных $ x. $ График $f(x) $ имеет пилообразную форму. Парабола $ x =34y^2 $ пересекает график $f(x) $ в конечном числе точек. Сумма $ y-$координат этих точек пересечения может быть выражена в виде $ \dfrac{a+b\sqrt{c}}{d}, $ где $a,b,c,d - $ положительные целые числа, $a,b,d $ взаимно просты, а $ c $ не делится на квадрат любого просто числа. Найди $ a+b+c+d.$Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Пересечение кусочно-линейной функции и параболы,Найти сумму y-координат точек пересечения кусочно-линейной периодической функции и параболы.,Мат. анализ,сложный
"Вычисли $ \displaystyle \lim_{x \rightarrow 0}\sqrt[x]{1-2x} $. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел функции с показателем,Вычислить предел $\lim_{x \rightarrow 0}\sqrt[x]{1-2x}$,Мат. анализ,средний
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{(1+n)^4 - (1-n)^4}{(1+n)^3 - (1-n)^3}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела рациональной функции,Вычислить предел отношения многочленов при n стремящемся к бесконечности.,Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow \infty} (1^3+2^3+...+n^3)/n^3 - n/4$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела отношения сумм кубов,Вычислить предел выражения с суммой кубов и линейным членом.,Мат. анализ,средний
"Вычислить несобственный интеграл: $\displaystyle \int_{-\infty}^{+\infty} xe^{-x^2} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление несобственного интеграла,Вычислить несобственный интеграл от функции xe^(-x^2) от минус бесконечности до плюс бесконечности.,Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{n \rightarrow \infty} (1/(1*2)+1/(2*3)+...+1/(n*(n+1))$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел суммы ряда,Вычислить предел суммы ряда $1/(1*2)+1/(2*3)+...+1/(n*(n+1))$ при $n \rightarrow \infty$.,Мат. анализ,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} (\sqrt{n^2 + 4n} - n - 2)$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел с корнями,"Вычислить предел функции с корнями при n, стремящемся к бесконечности.",Мат. анализ,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{\sin (n^{100} + e^n)}{n^2 + 1}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел отношения функции синуса к многочлену,"Вычислить предел при n стремящемся к бесконечности от дроби, где в числителе sin(n^100 + e^n), а в знаменателе n^2 + 1.",Мат. анализ,легкий
"Вычислите интеграл: $\displaystyle \int_0^\pi \left( |\sin(1999x)| - |\sin(2000x)| \right) dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Интеграл с модулями синуса,Вычислить определенный интеграл от разности модулей синусов.,Мат. анализ,средний
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{n^2 + n \sin(2^n + n)}{(n - 1)^3 - (n + 1)^3}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела отношения многочленов,Вычислить предел отношения выражений с n и синусом при n стремящемся к бесконечности.,Мат. анализ,средний
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{\sqrt{n^2 + n + 4}}{n^2 + 1}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел отношения функций,"Вычислить предел функции при n, стремящемся к бесконечности",Мат. анализ,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} (\sqrt{n^4 - 3n^2 + 2} - \sqrt{n^4 + 5n^2 + 1})$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел с корнями,Вычислить предел разности квадратных корней.,Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow \pi/3}(\operatorname{tg}^3x-3\operatorname{tg}x)/\cos(x+\pi/6)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,"Вычислить предел функции при x, стремящемся к pi/3.",Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow \pi/4 + 0} (\operatorname{tg}(\pi/8+x))^{\operatorname{tg}2x}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел функции вида $f(x)^{g(x)}$ при $x \to \pi/4 + 0$.,Мат. анализ,средний
"Из букв А, А, М, М наугад составляют слово. Найти вероятность получить ""МАМА"". Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность составить слово,Найти вероятность составить слово 'МАМА' из заданных букв.,Теор. вер. и статистика,легкий
"Указать такие $N$, начиная с которых можно гарантировать выполнение неравенства $|a_n| < \varepsilon$ при $a_n = \frac{1}{n}$ и $\varepsilon = 0.001$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Оценка члена последовательности,"Найти N, при котором |a_n| < epsilon для a_n = 1/n и epsilon = 0.001.",Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow +\infty}\sqrt{x+\sqrt{x+\sqrt{x}}}-\sqrt{x}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел с корнями,"Вычислить предел функции с корнями при x, стремящемся к бесконечности.",Мат. анализ,средний
"Указать такие $N$, начиная с которых можно гарантировать выполнение неравенства $|a_n| < \varepsilon$ при $a_n = \frac{1}{n}$ и $\varepsilon = 0.01$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Определение N для сходимости последовательности,"Найти N, при котором |1/n| < 0.01.",Мат. анализ,легкий
"Решить матричное уравнение \( A A^T X = B \), где \[ A = \begin{pmatrix} 1 & 1 & 1 \\ 1 & -1 & 1 \end{pmatrix}, \quad B = \begin{pmatrix} 1 & 3 \\ 2 & 4 \end{pmatrix} \] Ответ запиши в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}, $ округлив по правилам математического округления до 3 знаков после запятой.",Решение матричного уравнения,Решить матричное уравнение вида A A^T X = B,Линал и геометрия,средний
"Вычислить $\displaystyle \lim_{n \to \infty} \sqrt[n]{a}$ при $a > 0$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел корня n-ой степени,Вычислить предел $\lim_{n \to \infty} \sqrt[n]{a}$ при $a > 0$.,Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{n \rightarrow \infty} (1-2+3-...+(-1)^{n-1}n)/n$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел знакопеременной суммы,"Вычислить предел последовательности, содержащей знакопеременную сумму.",Мат. анализ,средний
"Брошены три монеты. Найти вероятность выпадения двух ""гербов"". Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность выпадения двух гербов при бросании трех монет,Найти вероятность выпадения двух гербов при бросании трех монет.,Теор. вер. и статистика,легкий
"Найти обратную матрицу для: \[ \begin{pmatrix} 1 & 4 & 5 \\ 3 & 13 & 21 \\ 2 & 9 & 17 \end{pmatrix} \] Ответ запиши в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}, $ округлив по правилам математического округления до 3 знаков после запятой.",Нахождение обратной матрицы,Найти обратную матрицу для заданной матрицы 3x3.,Линал и геометрия,средний
"Вычисли $ \displaystyle \int_0^1 \dfrac{\sqrt[3]{x}-1}{\ln(x)}$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,Вычислить определённый интеграл от функции с логарифмом и корнем.,Мат. анализ,средний
"Вычисли $ \displaystyle \int_1^2 \left(\dfrac{\cos^8x+\sin^8x-1}{\cos^6x+\sin^6x-1}+\dfrac{2}{3}\cos^2x\sin^2x\right)dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,Вычислить определённый интеграл от тригонометрической функции.,Мат. анализ,средний
"Вычисли $ \displaystyle \int_0^{e-1} (3x-5)/(x+1)dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Определенный интеграл рациональной функции,Вычислить определенный интеграл от рациональной функции.,Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{n \rightarrow \infty} ((-2)^n+3^n)/((-2)^{n+1}+3^{n+1}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел отношения степенных выражений,"Вычислить предел отношения выражений, содержащих степени (-2)^n и 3^n, при n стремящемся к бесконечности.",Мат. анализ,легкий
"Пусть $a$ — положительный корень уравнения $x^{2017} - x - 1 = 0$, а $b$ — положительный корень уравнения $y^{4034} - y = 3a$. Найдите десятый знак после запятой числа $|a - b|$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление разности корней уравнений,"Найти десятый знак после запятой числа |a - b|, где a и b - корни заданных уравнений.",Мат. анализ,сложный
"Вычислить интеграл: $\displaystyle \int_{2}^{3} \frac{3x^2}{x^3 - 7} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,Вычислить определенный интеграл от рациональной функции.,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_3^6 e^{x/3} dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла от экспоненциальной функции,Вычислить определенный интеграл от $e^{x/3}$ на заданном интервале.,Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow 0}(1-\cos x)/x^2$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел функции (1-cos x)/x^2 при x стремящемся к 0.,Мат. анализ,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{n^2 \sin(3n + n^5)}{4^n + 4^{-n}}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел отношения функций,"Вычислить предел при n стремящемся к бесконечности от дроби, в числителе которой n^2 * sin(3n + n^5), а в знаменателе 4^n + 4^(-n).",Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow 1}(1+\sin(\pi x))^{\operatorname{ctg}\pi x} $. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела с неопределенностью,Вычислить предел функции вида $f(x)^{g(x)}$ при $x \to 1$.,Мат. анализ,средний
"Вычислить интеграл: $\displaystyle \int_{0}^{\ln 2} x e^{-x} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,Вычислить определенный интеграл функции xe^(-x) от 0 до ln(2).,Мат. анализ,легкий
"В телефонном номере 135-3?-?? стерлись три последние цифры. Найти вероятность, что стерлись различные цифры, отличные от 1, 3, 5. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность различных цифр в телефонном номере,"Найти вероятность, что стерлись различные цифры, отличные от 1, 3, 5.",Теор. вер. и статистика,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow 8}(\sqrt{9+2x}-5)/(\sqrt[3]{x}-2)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Найти предел функции при x стремящемся к 8,Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow 0} (1-\cos x \cos 2x \cos 3x)/(1-\cos x)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел с тригонометрическими функциями,"Вычислить предел отношения выражений с косинусами при x, стремящемся к 0.",Мат. анализ,средний
"Вероятность неполадки станка за смену 0.05. Найти вероятность отсутствия неполадок за 3 смены. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность отсутствия неполадок станка,"Найти вероятность отсутствия неполадок станка за 3 смены, если вероятность неполадки за одну смену 0.05.",Теор. вер. и статистика,легкий
"Указать предел последовательности $x_n = \frac{1}{n^2 + 1}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел последовательности,Найти предел последовательности $x_n = rac{1}{n^2 + 1}$,Мат. анализ,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} \left(\frac{n^2 + 3n}{n^2 + 2n + 2}\right)^{n^2}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел последовательности с показательной функцией,Вычислить предел последовательности вида (f(n))^g(n) при n стремящемся к бесконечности.,Мат. анализ,средний
"Вычислить $\displaystyle \lim_{n \to \infty} \left(\frac{n^2 + 3n}{n^2 + 2n + 2}\right)^n$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел последовательности с показательной функцией,Вычислить предел вида (1+1/f(n))^n,Мат. анализ,средний
"Вычислить несобственный интеграл: $\displaystyle \int_{1}^{+\infty} \frac{dx}{x^2}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление несобственного интеграла от 1/x^2,Вычислить несобственный интеграл от 1 до бесконечности функции 1/x^2.,Мат. анализ,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} \left(1 + \frac{2}{n}\right)^n$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел последовательности,Вычислить предел вида (1 + a/n)^n при n стремящемся к бесконечности.,Мат. анализ,легкий
"Найдите сумму ряда: $\displaystyle \frac{1}{1 \cdot 2} + \frac{1}{2 \cdot 3} + \frac{1}{3 \cdot 4} + \frac{1}{4 \cdot 5} + \ldots$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Сумма телескопического ряда,Найти сумму бесконечного ряда $\sum_{n=1}^{\infty} \frac{1}{n(n+1)}$,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_1^2 \dfrac{1}{4x^5+5x}dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,Вычислить определенный интеграл от рациональной функции.,Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow 0} \sin{5x}/x$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела с синусом,Вычислить предел функции sin(5x)/x при x стремящемся к 0.,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_0^1 x\arcsin x dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла с арксинусом,"Вычислить определенный интеграл от произведения x и arcsin(x) на отрезке [0, 1].",Мат. анализ,средний
"Вычислить $\displaystyle \lim_{n \to \infty} \left(\frac{n^3 + 4n}{n^3 + 2n - 3}\right)^{n^2 - 3}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел последовательности со степенью,Вычислить предел последовательности вида $f(n)^{g(n)}$ при $n \to \infty$.,Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow \infty} ((x^2-1)/(x^2+1))^{(x-1)/(x+1)} $. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел функции,"Вычислить предел функции при x, стремящемся к бесконечности.",Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow 0} (1+x^2)^{\operatorname{ctg}^2 x}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел функции,Вычислить предел функции при x стремящемся к 0.,Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow \infty}((2x-3)^{20}(3x+2)^{30}/(2x+1)^{50}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел рациональной функции,Вычислить предел при x стремящемся к бесконечности для заданной рациональной функции.,Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow 0} ((1+x)/(2+x))^{(1-\sqrt{x})/(1-x)} $. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел функции при x стремящемся к 0.,Мат. анализ,средний
"Вычислить интеграл: $\displaystyle \int_{1}^{e} \frac{2 \ln x}{x} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,Вычислить определенный интеграл от функции с логарифмом.,Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{n \rightarrow \infty} (1^2+3^2+...+(2n-1)^2)/n^3$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел суммы квадратов нечетных чисел,Вычислить предел отношения суммы квадратов нечетных чисел к кубу n.,Мат. анализ,средний
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{3^{n+1} + 2^{n+1} + 1}{3^n + 2^n + 5}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел отношения степенных функций,Вычислить предел отношения $3^{n+1} + 2^{n+1} + 1$ к $3^n + 2^n + 5$ при $n \to \infty$.,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_1^2 \dfrac{1}{x^2\sqrt[4]{(x^4+1)^3}}dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,Вычислить определённый интеграл от функции.,Мат. анализ,средний
"Найти вероятность, что четырехзначный номер автомобиля имеет только три одинаковые цифры. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность четырехзначного номера с тремя одинаковыми цифрами,"Найти вероятность, что четырехзначный номер автомобиля имеет только три одинаковые цифры.",Теор. вер. и статистика,средний
"В телефонном номере 135-3?-?? стерлись три последние цифры. Найти вероятность, что две из стершихся цифр совпадают. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность совпадения цифр в телефонном номере,"Найти вероятность, что две из трех стершихся цифр телефонного номера совпадают.",Теор. вер. и статистика,средний
"Вычисли $ \displaystyle \int_{-1}^8 \sqrt[3]{x} dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,Вычислить определённый интеграл от кубического корня.,Мат. анализ,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{\sqrt[3]{n^3 - 2n}}{n + 2}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел отношения функций,Вычислить предел при n стремящемся к бесконечности от отношения $\frac{\sqrt[3]{n^3 - 2n}}{n + 2}$.,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_0^{0.5} x/(\sqrt{1-x^2}) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,Вычислить определенный интеграл от функции x/sqrt(1-x^2) на заданном отрезке.,Мат. анализ,легкий
"Вычислить несобственный интеграл: $\displaystyle \int_{-\infty}^{+\infty} \frac{dx}{1+x^2}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление несобственного интеграла,Вычислить несобственный интеграл от 1/(1+x^2) от минус бесконечности до плюс бесконечности.,Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow 0} x^2/(\sqrt{1+x\sin x}-\sqrt{\cos x})$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,"Вычислить предел функции при x, стремящемся к 0.",Мат. анализ,средний
